Estacao;Data;Hora;PrecipitacaoTotal;
83743;31/01/1961;0000;165.1;
83743;28/02/1961;0000;84.8;
83743;31/03/1961;0000;174;
83743;30/04/1961;0000;176;
83743;31/05/1961;0000;88.6;
83743;30/06/1961;0000;35.5;
83743;31/07/1961;0000;49.3;
83743;31/08/1961;0000;5.1;
83743;30/09/1961;0000;6.7;
83743;31/10/1961;0000;2.7;
83743;30/11/1961;0000;77.5;
83743;31/12/1961;0000;142.7;
83743;31/01/1962;0000;472.9;
83743;28/02/1962;0000;325.3;
83743;31/03/1962;0000;36.8;
83743;30/04/1962;0000;17.8;
83743;31/05/1962;0000;94.9;
83743;30/06/1962;0000;29;
83743;31/07/1962;0000;43.2;
83743;31/08/1962;0000;27.9;
83743;30/09/1962;0000;64.3;
83743;31/10/1962;0000;104.6;
83743;30/11/1962;0000;135.9;
83743;31/12/1962;0000;150.2;
83743;31/01/1963;0000;66.4;
83743;28/02/1963;0000;150.9;
83743;31/03/1963;0000;71.3;
83743;30/04/1963;0000;52.6;
83743;31/05/1963;0000;24.1;
83743;30/06/1963;0000;12.3;
83743;31/07/1963;0000;20.7;
83743;31/08/1963;0000;13.3;
83743;30/09/1963;0000;1.1;
83743;31/10/1963;0000;68.9;
83743;30/11/1963;0000;54.6;
83743;31/12/1963;0000;105.3;
83743;31/01/1964;0000;52.8;
83743;29/02/1964;0000;236.8;
83743;31/03/1964;0000;101.6;
83743;30/04/1964;0000;112.4;
83743;31/05/1964;0000;75.3;
83743;30/06/1964;0000;39.6;
83743;31/07/1964;0000;87.7;
83743;31/08/1964;0000;34.9;
83743;30/09/1964;0000;33.2;
83743;31/10/1964;0000;120.5;
83743;30/11/1964;0000;108.5;
83743;31/12/1964;0000;212.4;
83743;31/01/1965;0000;175.7;
83743;28/02/1965;0000;141.8;
83743;31/03/1965;0000;205.6;
83743;30/04/1965;0000;78.9;
83743;31/05/1965;0000;159;
83743;30/06/1965;0000;18.4;
83743;31/07/1965;0000;47;
83743;31/08/1965;0000;42.4;
83743;30/09/1965;0000;42;
83743;31/10/1965;0000;150.9;
83743;30/11/1965;0000;60.5;
83743;31/12/1965;0000;130.2;
83743;31/01/1966;0000;380.6;
83743;28/02/1966;0000;97.7;
83743;31/03/1966;0000;279.6;
83743;30/04/1966;0000;69.7;
83743;31/05/1966;0000;98.2;
83743;30/06/1966;0000;7.4;
83743;31/07/1966;0000;36.5;
83743;31/08/1966;0000;91.1;
83743;30/09/1966;0000;37.5;
83743;31/10/1966;0000;148.7;
83743;30/11/1966;0000;188.8;
83743;31/12/1966;0000;146.7;
83743;31/01/1967;0000;261.7;
83743;28/02/1967;0000;432;
83743;31/03/1967;0000;320.5;
83743;30/04/1967;0000;150;
83743;31/05/1967;0000;27.5;
83743;30/06/1967;0000;33.3;
83743;31/07/1967;0000;101.4;
83743;31/08/1967;0000;12.8;
83743;30/09/1967;0000;33.4;
83743;31/10/1967;0000;54;
83743;30/11/1967;0000;143.1;
83743;31/12/1967;0000;150;
83743;31/01/1968;0000;66.3;
83743;29/02/1968;0000;92.5;
83743;31/03/1968;0000;78.1;
83743;30/04/1968;0000;95.4;
83743;31/05/1968;0000;33.1;
83743;30/06/1968;0000;48.9;
83743;31/07/1968;0000;71.7;
83743;31/08/1968;0000;49.3;
83743;30/09/1968;0000;51.3;
83743;31/10/1968;0000;61;
83743;30/11/1968;0000;51.1;
83743;31/12/1968;0000;179.4;
83743;31/01/1969;0000;140.2;
83743;28/02/1969;0000;116.8;
83743;31/03/1969;0000;255.2;
83743;30/04/1969;0000;121.1;
83743;31/05/1969;0000;8.9;
83743;30/06/1969;0000;61.5;
83743;31/07/1969;0000;10.4;
83743;31/08/1969;0000;75.6;
83743;30/09/1969;0000;23.3;
83743;31/10/1969;0000;82.2;
83743;30/11/1969;0000;126.1;
83743;31/12/1969;0000;96.7;
83743;31/01/1970;0000;75;
83743;28/02/1970;0000;21.7;
83743;31/03/1970;0000;80.3;
83743;30/04/1970;0000;41.7;
83743;31/05/1970;0000;39.5;
83743;30/06/1970;0000;29.5;
83743;31/07/1970;0000;49;
83743;31/08/1970;0000;107.9;
83743;30/09/1970;0000;40.9;
83743;31/10/1970;0000;84.3;
83743;30/11/1970;0000;131.1;
83743;31/12/1970;0000;143.7;
83743;31/01/1971;0000;174.4;
83743;28/02/1971;0000;196.2;
83743;31/03/1971;0000;213.6;
83743;30/04/1971;0000;126.3;
83743;31/05/1971;0000;75.7;
83743;30/06/1971;0000;67.4;
83743;31/07/1971;0000;13.4;
83743;31/08/1971;0000;65.9;
83743;30/09/1971;0000;58.2;
83743;31/10/1971;0000;103.7;
83743;30/11/1971;0000;93.4;
83743;31/12/1971;0000;120.3;
83743;31/01/1972;0000;78.4;
83743;29/02/1972;0000;164.4;
83743;31/03/1972;0000;119.8;
83743;30/04/1972;0000;78;
83743;31/05/1972;0000;31.4;
83743;30/06/1972;0000;4.1;
83743;31/07/1972;0000;28.4;
83743;31/08/1972;0000;55.8;
83743;30/09/1972;0000;14.2;
83743;31/10/1972;0000;75.2;
83743;30/11/1972;0000;50.5;
83743;31/12/1972;0000;51.3;
83743;31/01/1973;0000;289.5;
83743;28/02/1973;0000;106.3;
83743;31/03/1973;0000;65.7;
83743;30/04/1973;0000;26.7;
83743;31/05/1973;0000;101.4;
83743;30/06/1973;0000;1.9;
83743;31/07/1973;0000;23.3;
83743;31/08/1973;0000;22.2;
83743;30/09/1973;0000;78.3;
83743;31/10/1973;0000;72.1;
83743;30/11/1973;0000;62.2;
83743;31/12/1973;0000;122.2;
83743;31/01/1974;0000;67.7;
83743;28/02/1974;0000;6.4;
83743;31/03/1974;0000;30.2;
83743;30/04/1974;0000;97.5;
83743;31/05/1974;0000;35.9;
83743;30/06/1974;0000;97.4;
83743;31/07/1974;0000;1.5;
83743;31/08/1974;0000;21.9;
83743;30/09/1974;0000;48.8;
83743;31/10/1974;0000;120.1;
83743;30/11/1974;0000;62.5;
83743;31/12/1974;0000;248.8;
83743;31/01/1975;0000;173.2;
83743;28/02/1975;0000;76.1;
83743;31/03/1975;0000;45;
83743;30/04/1975;0000;77.9;
83743;31/05/1975;0000;168.2;
83743;30/06/1975;0000;16.3;
83743;31/07/1975;0000;21.1;
83743;31/08/1975;0000;1.3;
83743;30/09/1975;0000;46.1;
83743;31/10/1975;0000;69.6;
83743;30/11/1975;0000;144.1;
83743;31/12/1975;0000;132.4;
83743;31/01/1976;0000;50.3;
83743;29/02/1976;0000;134.2;
83743;31/03/1976;0000;96.2;
83743;30/04/1976;0000;48.9;
83743;31/05/1976;0000;109.3;
83743;30/06/1976;0000;51.2;
83743;31/07/1976;0000;58.9;
83743;31/08/1976;0000;98;
83743;30/09/1976;0000;58.6;
83743;31/10/1976;0000;136.6;
83743;30/11/1976;0000;92.6;
83743;31/12/1976;0000;163.7;
83743;31/01/1977;0000;81.1;
83743;28/02/1977;0000;0;
83743;31/03/1977;0000;32;
83743;30/04/1977;0000;281.7;
83743;31/05/1977;0000;71.4;
83743;30/06/1977;0000;35.4;
83743;31/07/1977;0000;102.4;
83743;31/08/1977;0000;32.3;
83743;30/09/1977;0000;142.9;
