Estacao;Data;Hora;PrecipitacaoTotal;
83781;31/01/1961;0000;254.3;
83781;28/02/1961;0000;335;
83781;31/03/1961;0000;147.9;
83781;30/04/1961;0000;78.2;
83781;31/05/1961;0000;64.8;
83781;30/06/1961;0000;30.5;
83781;31/07/1961;0000;0.4;
83781;31/08/1961;0000;13.8;
83781;30/09/1961;0000;4;
83781;31/10/1961;0000;178.8;
83781;30/11/1961;0000;124.7;
83781;31/12/1961;0000;186.6;
83781;31/01/1962;0000;109.8;
83781;28/02/1962;0000;205.3;
83781;31/03/1962;0000;245.2;
83781;30/04/1962;0000;61.5;
83781;31/05/1962;0000;17.3;
83781;30/06/1962;0000;11.9;
83781;31/07/1962;0000;34.8;
83781;31/08/1962;0000;50.3;
83781;30/09/1962;0000;46.9;
83781;31/10/1962;0000;182.3;
83781;30/11/1962;0000;64.7;
83781;31/12/1962;0000;236.3;
83781;31/01/1963;0000;219.1;
83781;28/02/1963;0000;241;
83781;31/03/1963;0000;78.1;
83781;30/04/1963;0000;24.3;
83781;31/05/1963;0000;3.7;
83781;30/06/1963;0000;21.3;
83781;31/07/1963;0000;3;
83781;31/08/1963;0000;9.3;
83781;30/09/1963;0000;6.6;
83781;31/10/1963;0000;99.2;
83781;30/11/1963;0000;118.5;
83781;31/12/1963;0000;70.8;
83781;31/01/1964;0000;94.8;
83781;29/02/1964;0000;230.7;
83781;31/03/1964;0000;51.5;
83781;30/04/1964;0000;36;
83781;31/05/1964;0000;76;
83781;30/06/1964;0000;38.5;
83781;31/07/1964;0000;78.3;
83781;31/08/1964;0000;28.6;
83781;30/09/1964;0000;93.1;
83781;31/10/1964;0000;144;
83781;30/11/1964;0000;91.9;
83781;31/12/1964;0000;346.2;
83781;31/01/1965;0000;410.6;
83781;28/02/1965;0000;141.4;
83781;31/03/1965;0000;136.6;
83781;30/04/1965;0000;83.8;
83781;31/05/1965;0000;57;
83781;30/06/1965;0000;20.9;
83781;31/07/1965;0000;74.2;
83781;31/08/1965;0000;7.8;
83781;30/09/1965;0000;62.1;
83781;31/10/1965;0000;207.6;
83781;30/11/1965;0000;150.5;
